city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Montigny-en-Ostervent,50.3667,3.1869,France,FR,Hauts-de-France,,4791,4791
Castelnau-de-Médoc,45.0269,-0.7992,France,FR,Nouvelle-Aquitaine,,4788,4788
Baisieux,50.6153,3.2408,France,FR,Hauts-de-France,,4784,4784
Verdun-sur-Garonne,43.8531,1.2358,France,FR,Occitanie,,4782,4782
Phalempin,50.5169,3.0164,France,FR,Hauts-de-France,,4780,4780
Chavanoz,45.7772,5.1717,France,FR,Auvergne-Rhône-Alpes,,4777,4777
Dagneux,45.8517,5.0681,France,FR,Auvergne-Rhône-Alpes,,4769,4769
L’Horme,45.4864,4.5447,France,FR,Auvergne-Rhône-Alpes,,4768,4768
Saint-Pantaléon-de-Larche,45.1411,1.4464,France,FR,Nouvelle-Aquitaine,,4768,4768
Saint-Lyphard,47.3978,-2.3078,France,FR,Pays de la Loire,,4768,4768
Mundolsheim,48.6436,7.7142,France,FR,Grand Est,,4767,4767
Heyrieux,45.6292,5.0633,France,FR,Auvergne-Rhône-Alpes,,4767,4767
Auneau,48.4619,1.7731,France,FR,Centre-Val de Loire,,4767,4767
Saint-Laurent-Médoc,45.1503,-0.8219,France,FR,Nouvelle-Aquitaine,,4767,4767
